Mes,Ano,Valor
12,2010,1000.00
01,2011,1005.64
02,2011,1000.48
03,2011,1028.25
04,2011,1046.39
05,2011,1040.60
06,2011,1056.10
07,2011,1084.51
08,2011,1092.91
09,2011,1111.17
10,2011,1107.17
11,2011,1123.57
12,2011,1165.09
01,2012,1200.43
02,2012,1256.23
03,2012,1307.30
04,2012,1326.05
05,2012,1372.63
06,2012,1427.09
07,2012,1511.95
08,2012,1505.51
09,2012,1532.00
10,2012,1500.57
11,2012,1506.52
12,2012,1573.34
01,2013,1613.76
02,2013,1597.88
03,2013,1579.32
04,2013,1549.00
05,2013,1549.36
06,2013,1437.76
07,2013,1427.11
08,2013,1375.07
09,2013,1400.93
10,2013,1423.10
11,2013,1411.67
12,2013,1374.70
01,2014,1282.04
02,2014,1330.42
03,2014,1336.07
04,2014,1350.76
05,2014,1369.25
06,2014,1387.63
07,2014,1409.42
08,2014,1413.10
09,2014,1421.44
10,2014,1402.46
11,2014,1361.51
12,2014,1336.72
01,2015,1372.06
02,2015,1369.42
03,2015,1347.63
04,2015,1397.06
05,2015,1417.54
06,2015,1460.46
07,2015,1470.73
08,2015,1458.12
09,2015,1400.42
10,2015,1430.17
11,2015,1452.66
12,2015,1409.01
01,2016,1322.95
02,2016,1361.05
03,2016,1485.75
04,2016,1554.17
05,2016,1612.36
06,2016,1638.16
07,2016,1735.99
08,2016,1767.11
09,2016,1816.05
10,2016,1885.92
11,2016,1837.13
12,2016,1864.61
01,2017,1934.69
02,2017,2028.86
03,2017,2032.81
04,2017,2035.85
05,2017,2056.75
06,2017,2074.14
07,2017,2066.19
08,2017,2084.00
09,2017,2221.05
10,2017,2226.25
11,2017,2213.08
12,2017,2226.46
01,2018,2285.23
02,2018,2311.41
03,2018,2357.54
04,2018,2337.25
05,2018,2214.11
06,2018,2125.22
07,2018,2154.45
08,2018,2139.40
09,2018,2134.81
10,2018,2242.45
11,2018,2300.48
12,2018,2351.59
01,2019,2409.69
02,2019,2434.56
03,2019,2482.93
04,2019,2508.45
05,2019,2552.69
06,2019,2626.10
07,2019,2659.55
08,2019,2656.69
09,2019,2684.26
10,2019,2791.98
11,2019,2890.26
12,2019,3197.58
01,2020,3077.28
02,2020,2963.81
03,2020,2494.10
04,2020,2603.62
05,2020,2657.68
06,2020,2806.28
07,2020,2733.12
08,2020,2782.10
09,2020,2794.88
10,2020,2766.76
11,2020,2808.56
12,2020,2870.15
