Data,Valor
2011-01-01,1.634300
2011-02-01,1.660000
2011-03-01,1.628500
2011-04-01,1.586300
2011-05-01,1.593000
2011-06-01,1.569700
2011-07-01,1.562800
2011-08-01,1.586500
2011-09-01,1.827700
2011-10-01,1.687100
2011-11-01,1.841500
2011-12-01,1.865200
2012-01-01,1.746300
2012-02-01,1.697700
2012-03-01,1.824100
2012-04-01,1.886000
2012-05-01,2.014900
2012-06-01,2.006500
2012-07-01,2.040300
2012-08-01,2.045500
2012-09-01,2.022600
2012-10-01,2.029000
2012-11-01,2.095600
2012-12-01,2.045100
2013-01-01,1.988300
2013-02-01,1.974400
2013-03-01,2.019000
2013-04-01,2.005700
2013-05-01,2.107700
2013-06-01,2.189200
2013-07-01,2.279400
2013-08-01,2.380700
2013-09-01,2.222700
2013-10-01,2.181100
2013-11-01,2.330800
2013-12-01,2.359300
2014-01-01,2.408800
2014-02-01,2.319000
2014-03-01,2.256100
2014-04-01,2.233200
2014-05-01,2.223600
2014-06-01,2.191800
2014-07-01,2.243700
2014-08-01,2.231600
2014-09-01,2.443500
2014-10-01,2.401600
2014-11-01,2.527200
2014-12-01,2.654100
2015-01-01,2.678800
2015-02-01,2.905000
2015-03-01,3.226000
2015-04-01,2.952700
2015-05-01,3.158400
2015-06-01,3.115000
2015-07-01,3.370800
2015-08-01,3.578700
2015-09-01,4.054400
2015-10-01,3.844700
2015-11-01,3.841400
2015-12-01,3.956700
2016-01-01,4.067000
2016-02-01,3.964700
2016-03-01,3.596100
2016-04-01,3.432800
2016-05-01,3.567400
2016-06-01,3.237600
2016-07-01,3.246200
2016-08-01,3.236800
2016-09-01,3.259300
2016-10-01,3.203100
2016-11-01,3.453800
2016-12-01,3.253200
2017-01-01,3.125500
2017-02-01,3.105300
2017-03-01,3.147700
2017-04-01,3.176100
2017-05-01,3.256200
2017-06-01,3.302700
2017-07-01,3.177700
2017-08-01,3.158800
2017-09-01,3.180900
2017-10-01,3.287300
2017-11-01,3.244800
2017-12-01,3.311000
2018-01-01,3.179500
2018-02-01,3.248500
2018-03-01,3.303600
2018-04-01,3.458100
2018-05-01,3.722100
2018-06-01,3.859500
2018-07-01,3.728100
2018-08-01,4.148600
2018-09-01,4.048000
2018-10-01,3.694600
2018-11-01,3.851000
2018-12-01,3.874200
2019-01-01,3.681400
2019-02-01,3.727300
2019-03-01,3.921600
2019-04-01,3.944300
2019-05-01,3.980000
2019-06-01,3.816000
2019-07-01,3.789300
2019-08-01,4.168100
2019-09-01,4.093400
2019-10-01,3.986200
2019-11-01,4.235200
2019-12-01,4.015711
2020-01-01,4.242200
2020-02-01,4.470508
2020-03-01,5.192700
2020-04-01,5.334800
2020-05-01,5.332300
2020-06-01,5.402100
2020-07-01,5.153900
2020-08-01,5.390000
2020-09-01,5.630500
2020-10-01,5.777800
2020-11-01,5.342500
2020-12-01,5.190839
2021-01-01,5.460800
